NHP,ASP,CFU,Protection,TimePoint,NK,CD8,CD16,CD69pos,CD69neg
5219,17-720.1a,8590,Not Protected,W8,2.32,17.8,18.4,84.5,15.5
22119,17-720.2,1560,Not Protected,W8,0.99,76.2,2.48,94,6.03
4519,17-720.1a,258,Not Protected,W8,1.47,6.92,6.69,90.5,9.47
4119,17-720.1a,695,Not Protected,W8,0.64,4.3,10.7,84.6,15.4
4219,17-720.1a,850,Not Protected,W8,1.36,30,33.2,93.4,6.63
21919,17-720.2,648,Not Protected,W8,0.62,2.55,24.9,91.5,8.45
22619,17-720.2,79050,Not Protected,W8,0.55,25.2,5.78,89.3,10.7
21819,17-720.2,0,Protected,W8,0.8,30.6,35.1,89.3,10.7
21219,17-720.2,0,Protected,W8,1.46,0.4,38.6,94.5,5.55
21519,17-720.2,252343,Not Protected,W8,0.86,12.5,14.1,90.6,9.45
8521,20-0875.2,756000,Not Protected,W8,1.71,9.28,39.2,86,14
19521,20-0875.3,120,Not Protected,W8,0.83,37.1,17.8,84.3,15
10221,20-0875.3,0,Protected,W8,0.68,29.6,29.8,79.7,19.2
8421,20-0875.2,0,Protected,W8,0.98,34.5,24.9,65.7,34.1
9621,20-0875.2,0,Protected,W8,3.3,24.5,13.3,87.6,12.4
10221,20-0875.2,0,Protected,W8,1.43,13.8,14.3,80.8,19.2
4319,17-720.1a,210,Not Protected,W8,5.64,5.26,16.7,92.6,7.38
4819,17-720.1a,60,Protected,W8,0.93,31.6,32.5,84.5,15.5
20221,20-0875.3,60,Protected,W12/13,0.2,15.2,12.5,70.8,27.5
20121,20-0875.3,0,Protected,W12/13,0.54,19.3,5.66,77.2,22
10121,20-0875.2,30,Protected,W12/13,0.32,18.7,11,89.2,10.8
19521,20-0875.3,120,Not Protected,W12/13,0.31,24.6,22.1,84.5,14.3
9621,20-0875.2,0,Protected,W12/13,0.48,40.8,9.5,65,34.9
20621,20-0875.3,21155,Not Protected,W12/13,0.36,19.2,14.3,83.4,15.4
5219,17-720.1a,8590,Not Protected,W12/13,1.65,16.6,17.3,89.1,10.9
22119,17-720.2,1560,Not Protected,W12/13,1.54,77.7,1.33,89.9,10.1
4519,17-720.1a,258,Not Protected,W12/13,0.71,6.02,6.13,87,13
4119,17-720.1a,695,Not Protected,W12/13,0.46,11.7,5.98,79.1,20.9
4219,17-720.1a,850,Not Protected,W12/13,1.08,15.3,16.5,94.1,5.86
21919,17-720.2,648,Not Protected,W12/13,0.49,6.78,6.88,80.4,19.6
22619,17-720.2,79050,Not Protected,W12/13,0.41,33.2,6.71,66.9,33.1
21819,17-720.2,0,Protected,W12/13,0.7,37.3,23.2,79.6,20.4
21219,17-720.2,0,Protected,W12/13,0.66,0.55,23.6,93.5,6.49
21519,17-720.2,252343,Not Protected,W12/13,0.57,9.9,10.2,69.1,30.9
8521,20-0875.2,756000,Not Protected,W12/13,0.7,13.4,26.4,76.8,22.9
19521,20-0875.3,120,Not Protected,W12/13,0.58,22.1,5.53,72.8,26.1
10221,20-0875.3,0,Protected,W12/13,0.61,22.1,20.5,79.2,19.5
8421,20-0875.2,0,Protected,W12/13,0.54,16.1,18.9,65.9,33.4
9621,20-0875.2,0,Protected,W12/13,2.45,18.7,14.2,88.1,11.8
10221,20-0875.2,0,Protected,W12/13,0.68,15.1,14.7,75.5,24.4
4319,17-720.1a,210,Not Protected,W12/13,5.58,2.65,19.6,93.7,6.35
4819,17-720.1a,60,Protected,W12/13,0.54,27.1,30.2,79,21
