Sample:,PTID,SAMPLE_ID,STIM,Tissue,TimePoint,Subset,NK
21519_BAL_B9_B09_069.fcs,21519,21519_BAL_wk8,Unstim,BAL,W8,CD69-GZMB+,3.24
10221_E1_E01_017.fcs,10221,10221_BAL_wk8,Unstim,BAL,W8,CD69+GZMB+,12.6
10221_E1_E01_017.fcs,10221,10221_BAL_wk8,Unstim,BAL,W8,CD69-GZMB+,2.23
9621_BAL_A9_A09_065.fcs,9621,9621_BAL_wk8,Unstim,BAL,W8,CD69+GZMB+,45.7
9621_BAL_A9_A09_065.fcs,9621,9621_BAL_wk8,Unstim,BAL,W8,CD69-GZMB+,6.56
5219_BAL_D9_D09_038.fcs,5219,5219_BAL_wk8,Unstim,BAL,W8,CD69+GZMB+,43.9
5219_BAL_D9_D09_038.fcs,5219,5219_BAL_wk8,Unstim,BAL,W8,CD69-GZMB+,15.4
4319_BAL_D9_D09_077.fcs,4319,4319_BAL_wk8,Unstim,BAL,W8,CD69+GZMB+,25.3
4319_BAL_D9_D09_077.fcs,4319,4319_BAL_wk8,Unstim,BAL,W8,CD69-GZMB+,2.46
4819_BAL_E5_E05_069.fcs,4819,4819_BAL_wk8,Unstim,BAL,W8,CD69+GZMB+,35.7
4819_BAL_E5_E05_069.fcs,4819,4819_BAL_wk8,Unstim,BAL,W8,CD69-GZMB+,19
20221_A1_A01_001.fcs,20221,20221_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,24
20221_A1_A01_001.fcs,20221,20221_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,61.5
19521_A1_A01_002.fcs,19521,19521_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,24
19521_A1_A01_002.fcs,36853,19521_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,61.5
22119_A9_A09_049.fcs,22119,22119_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,7.08
22119_A9_A09_049.fcs,22119,22119_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,63.6
4519_D1_D01_046.fcs,4519,4519_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,13.4
4519_D1_D01_046.fcs,4519,4519_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,67.6
4119_A5_A05_021.fcs,4119,4119_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,14.7
4119_A5_A05_021.fcs,4119,4119_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,75.8
4219_A5_A05_021.fcs,4219,4219_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,7.44
4219_A5_A05_021.fcs,4219,4219_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,78.6
21919_E1_E01_017.fcs,21919,21919_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,7.81
21919_E1_E01_017.fcs,21919,21919_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,79
22619_A1_A01_001.fcs,22619,22619_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,13.7
22619_A1_A01_001.fcs,22619,22619_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,67.7
21819_A5_A05_033.fcs,21819,21819_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,10.6
21819_A5_A05_033.fcs,21819,21819_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,51.3
21219_A5_A05_014.fcs,21219,21219_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,11
21219_A5_A05_014.fcs,21219,21219_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,55
21519_E1_E01_017.fcs,21519,21519_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,15.2
21519_E1_E01_017.fcs,21519,21519_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,59
10221_A1_A01_001.fcs,10221,10221_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,14.7
10221_A1_A01_001.fcs,10221,10221_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,70.7
9621_A1_A01_001.fcs,9621,9621_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,6.55
9621_A1_A01_001.fcs,9621,9621_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,60.2
5219_D5_D05_062.fcs,5219,5219_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,6.1
5219_D5_D05_062.fcs,5219,5219_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,79.2
4319_E5_E05_049.fcs,4319,4319_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,0
4319_E5_E05_049.fcs,4319,4319_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,9.52
4819_A5_A05_033.fcs,4819,4819_PBMC_pre,Unstim,PBMC,No Vax,CD69+GZMB+,0
4819_A5_A05_033.fcs,4819,4819_PBMC_pre,Unstim,PBMC,No Vax,CD69-GZMB+,18.2
