Sample.,PTID,SAMPLE_ID,TimePoint,STIM,Tissue,Subset,CD4,CD8ab,CD8aa
SEDXX7_BAL_4wk_MtbL_01_1.fcs,SEDXX7,SEDXX7_wk4_MtbL,W4,Mtb_lysate,BAL,CD154,5.82,0.266,0.896
SEDXX5_BAL_wk4_MtbL_01_1.fcs,SEDXX5,SEDXX5_wk4_MtbL,W4,Mtb_lysate,BAL,IFNg,32.36,20.67,24.42
SEDXX8 BAL wk 4 Mtb_02_1.fcs,SEDXX8,SEDXX8_wk4_MtbL,W4,Mtb_lysate,BAL,IFNg,27.81,26.47,28.94
SEDXX1 BAL wk 4 Mtb_01_1.fcs,SEDXX1,SEDXX1_wk4_MtbL,W4,Mtb_lysate,BAL,IFNg,6.3,2.53,2.919
SEDXX2_BAL_4wk_MtbL_01_1.fcs,SEDXX2,SEDXX2_wk4_MtbL,W4,Mtb_lysate,BAL,IFNg,27.9,30.96,44.78
SEDXX6_BAL_4wk_MtbL_01_1.fcs,SEDXX6,SEDXX6_wk4_MtbL,W4,Mtb_lysate,BAL,IFNg,22.31,25.83,26.23
SEDXX7_BAL_4wk_MtbL_01_1.fcs,SEDXX7,SEDXX7_wk4_MtbL,W4,Mtb_lysate,BAL,IFNg,38.59,19.57,38.03
SEDXX5_BAL_wk4_MtbL_01_1.fcs,SEDXX5,SEDXX5_wk4_MtbL,W4,Mtb_lysate,BAL,TNF,5.51,1.64,1.85
SEDXX8 BAL wk 4 Mtb_02_1.fcs,SEDXX8,SEDXX8_wk4_MtbL,W4,Mtb_lysate,BAL,TNF,19.15,11.3,12.9
SEDXX1 BAL wk 4 Mtb_01_1.fcs,SEDXX1,SEDXX1_wk4_MtbL,W4,Mtb_lysate,BAL,TNF,4.47,1.029,1.44
SEDXX2_BAL_4wk_MtbL_01_1.fcs,SEDXX2,SEDXX2_wk4_MtbL,W4,Mtb_lysate,BAL,TNF,12.67,6.17,14.75
SEDXX6_BAL_4wk_MtbL_01_1.fcs,SEDXX6,SEDXX6_wk4_MtbL,W4,Mtb_lysate,BAL,TNF,2.626,3.12,2.52
SEDXX7_BAL_4wk_MtbL_01_1.fcs,SEDXX7,SEDXX7_wk4_MtbL,W4,Mtb_lysate,BAL,TNF,4.564,1.62,2.7
SEDXX5_BAL_wk4_MtbL_01_1.fcs,SEDXX5,SEDXX5_wk4_MtbL,W4,Mtb_lysate,BAL,IL-2,1.99,0.268,0.313
SEDXX8 BAL wk 4 Mtb_02_1.fcs,SEDXX8,SEDXX8_wk4_MtbL,W4,Mtb_lysate,BAL,IL-2,0.404,0.23,0.375
SEDXX1 BAL wk 4 Mtb_01_1.fcs,SEDXX1,SEDXX1_wk4_MtbL,W4,Mtb_lysate,BAL,IL-2,0.506,0.11,0.157
