Sample:,PTID,SAMPLE_ID,STIM,Tissue,TimePoint,CD103,CD69,CD25,CD16,CD57,CD158,GranzymeB,NKG2D,CD69CD103,CD69GranB,CD69GranB_,CD69_GranB
21919_BAL_H5_H05_081.fcs,21919,21919_BAL_wk8,Unstim,BAL,W8,41.4,86.5,6.19,4.24,0.86,1.01,29.7,2.81,39.1,24.3,62.2,5.4
21919_E3_E03_019.fcs,21919,21919_PBMC_pre,Mtb Lysate,PBMC,No Vax,0.38,12.1,0.46,66,0.033,0.56,90,0.2,0.15,10.7,1.39,79.4
21919_E1_E01_017.fcs,21919,21919_PBMC_pre,Unstim,PBMC,No Vax,0.42,9.19,0.044,60.3,0.087,0.42,86.8,0.42,0.058,7.81,1.38,79
21919_F3_F03_023.fcs,21919,21919_PBMC_wk2,Mtb Lysate,PBMC,W2,0.53,22.3,1.88,75.1,0.058,0.95,96.5,0.044,0.35,21.7,0.6,74.8
21919_F1_F01_021.fcs,21919,21919_PBMC_wk2,Unstim,PBMC,W2,0.89,19.4,0.024,54.3,0.049,0.47,95.1,0.58,0.44,18.6,0.81,76.5
21919_G3_G03_027.fcs,21919,21919_PBMC_wk4,Mtb Lysate,PBMC,W4,0.65,20,0.22,55.4,0.43,1.74,92.4,0.22,0.43,18.9,1.09,73.5
21919_G1_G01_025.fcs,21919,21919_PBMC_wk4,Unstim,PBMC,W4,2.14,19.3,0.13,41.1,0.13,1.87,89.2,0.54,0.4,19,0.27,70.1
21919_H3_H03_031.fcs,21919,21919_PBMC_wk8,Mtb Lysate,PBMC,W8,0.21,19.2,0.26,67.8,0.017,0.57,95.7,0.088,0.091,18.8,0.49,77
21919_H1_H01_029.fcs,21919,21919_PBMC_wk8,Unstim,PBMC,W8,0.4,14.1,0.026,52.8,0.033,0.52,92.3,0.25,0.04,13.3,0.88,79
22619_BAL_G7_G07_079.fcs,22619,22619_BAL_wk4,Mtb Lysate,BAL,W4,27.6,91.1,11.6,10.8,0.39,0.98,85.8,6.89,26.4,79.7,11.4,6.1
22619_BAL_G5_G05_077.fcs,22619,22619_BAL_wk4,Unstim,BAL,W4,26.4,68.4,0.19,9.39,0.38,0.57,25.5,20.9,19.9,17.6,50.8,7.85
22619_A3_A03_003.fcs,22619,22619_PBMC_pre,Mtb Lysate,PBMC,No Vax,0.099,13.1,0.047,52.8,0.023,0.38,85.4,0.24,0.058,11.4,1.73,74
22619_A1_A01_001.fcs,22619,22619_PBMC_pre,Unstim,PBMC,No Vax,0.16,16.1,0.049,42.2,0.018,0.44,81.4,0.31,0.025,13.7,2.41,67.7
22619_B3_B03_007.fcs,22619,22619_PBMC_w2,Mtb Lysate,PBMC,W2,0.2,21.1,0.5,66.8,0.034,0.53,97.6,0.14,0.12,20.9,0.21,76.7
22619_B1_B01_005.fcs,22619,22619_PBMC_wk2,Unstim,PBMC,W2,0.29,24.9,0.025,28.2,0.044,0.25,92.6,0.46,0.14,24.4,0.53,68.2
22619_C3_C03_011.fcs,22619,22619_PBMC_wk4,Mtb Lysate,PBMC,W4,0.19,24.2,0.22,62.7,8.22E-03,0.55,91,0.099,0.099,23,1.27,68.1
22619_C1_C01_009.fcs,22619,22619_PBMC_wk4,Unstim,PBMC,W4,0.46,25.9,0.014,39.2,0.046,0.68,87.3,0.25,0.086,24.3,1.57,63
22619_D3_D03_015.fcs,22619,22619_PBMC_wk8,Mtb Lysate,PBMC,W8,0.25,27,0.065,57.7,0.042,0.43,84.6,0.079,0.12,23.6,3.43,61
22619_D1_D01_013.fcs,22619,22619_PBMC_wk8,Unstim,PBMC,W8,0.42,30.8,0.014,42.6,0.056,0.52,82.8,0.21,0.042,27.4,3.44,55.4
SEDXX22_BAL_E11_E11_067.fcs,SEDXX22,SEDXX22_BAL_pre,Mtb Lysate,BAL,No Vax,35.5,70,9.16,6.23,12.5,12.1,57.1,1.47,27.5,44.3,25.6,12.8
SEDXX22_BAL_E9_E09_065.fcs,SEDXX22,SEDXX22_BAL_pre,Unstim,BAL,No Vax,37.7,64.7,2.42,6.76,4.35,4.35,15,3.38,31.9,9.18,55.6,5.8
SEDXX23_BAL_F11_F11_087.fcs,SEDXX23,SEDXX23_BAL_pre,Mtb Lysate,BAL,No Vax,28.1,46.1,17.1,3.89,12.3,13.2,59.6,2.69,12.3,34.7,11.4,24.9
SEDXX23_BAL_F9_F09_085.fcs,SEDXX23,SEDXX23_BAL_pre,Unstim,BAL,No Vax,29.4,51.6,3.63,4.44,8.06,8.06,27.8,4.44,15.7,16.5,35.1,11.3
4319_BAL_C11_C11_059.fcs,4319,4319_BAL_wk4,Mtb Lysate,BAL,W4,58,87.4,31.7,25.6,0.33,0.89,93.3,0.76,56,82.5,4.85,10.8
4319_BAL_C9_C09_057.fcs,4319,4319_BAL_wk4,Unstim,BAL,W4,59.4,70.9,0.29,25.8,0.078,0.29,34.3,1.67,48.4,19.8,51,14.5
4819_BAL_F7_F07_075.fcs,4819,4819_BAL_wk4,Mtb Lysate,BAL,W4,4.82,54.7,7.26,57.2,0.048,0.14,97.8,0.14,4.68,53.3,1.43,44.5
4819_BAL_F5_F05_073.fcs,4819,4819_BAL_wk4,Unstim,BAL,W4,6.26,42.8,0,40.5,0.14,0.58,86.3,0.77,5.68,33,9.73,53.3
4819_BAL_E7_E07_071.fcs,4819,4819_BAL_wk8,Mtb Lysate,BAL,W8,14.9,89.3,22.1,14.8,0.15,0.23,92.2,0.23,14.4,83,6.39,9.28
4819_BAL_E5_E05_069.fcs,4819,4819_BAL_wk8,Unstim,BAL,W8,21.4,71,0.74,22.4,0.32,0.42,54.7,1.16,19.1,35.7,35.3,19
4819_A7_A07_035.fcs,4819,4819_PBMC_pre,Mtb Lysate,PBMC,No Vax,0,4.35,0,8.7,17.4,17.4,4.35,0,0,0,4.35,4.35
4819_A5_A05_033.fcs,4819,4819_PBMC_pre,Unstim,PBMC,No Vax,0,4.55,0,27.3,0,0,18.2,0,0,0,4.55,18.2
4819_B7_B07_039.fcs,4819,4819_PBMC_wk2,Mtb Lysate,PBMC,W2,0.47,24.5,4.14,69,0.037,0.25,94.8,0.037,0.29,23.9,0.53,70.9
4819_B5_B05_037.fcs,4819,4819_PBMC_wk2,Unstim,PBMC,W2,1.62,15.9,0.017,57.6,0.061,0.72,84.9,0.26,0.083,14.8,1.07,70.1
4819_C7_C07_043.fcs,4819,4819_PBMC_wk4,Mtb Lysate,PBMC,W4,0.54,33,1.87,62.6,0.067,0.47,96.6,0.059,0.28,32.6,0.45,64
4819_C5_C05_041.fcs,4819,4819_PBMC_wk4,Unstim,PBMC,W4,1.02,14.5,6.39E-03,57.6,0.038,0.54,86.4,0.2,0.13,13.3,1.18,73.1
4819_D7_D07_047.fcs,4819,4819_PBMC_wk8,Mtb Lysate,PBMC,W8,0.33,21,0.54,60.4,0.031,0.29,95.2,0.051,0.16,20.5,0.51,74.7
4819_D5_D05_045.fcs,4819,4819_PBMC_wk8,Unstim,PBMC,W8,0.93,10.6,4.56E-03,54.8,0.055,0.4,86.1,0.16,0.078,9.59,0.97,76.5
